Park,Latitude,Longitude
"Acadia National Park, Maine",44.338974,-68.27343
"Shenandoah National Park, Virginia",38.700516,-78.292694
"Cuyahoga Valley National Park, Ohio",41.2417224,-81.5498396
"Guadalupe Mountains National Park, Texas",31.9001157,-104.8671704
"Rocky Mountain National Park, Colorado",40.3428,-105.68
"Grand Canyon National Park, Arizona",36.107,-112.11
"Yellowstone National Park, Wyoming",44.428,-110.59
"Yosemite National Park, California",37.8651,-119.54
"Olympic National Park, Washington",47.802109,-123.604355
"Denali National Park, Alaska",63.129887,-151.197418
"Mammoth Cave National Park,Kentucky",37.186989,-86.10054
"Arches National Park, Utah",38.7331,-109.59
"Mount Rainier Natioanl Park, Washington",46.879967,-121.726906
"Bryce Canyon National Park, Utah",37.593,-112.19
"Lassen Volcanic National Park, California",40.4977,-121.42
Zion National Park,37.2982,-113.03
"Joshua Tree National Park, California",33.9166757,-115.9174968
"Greaty Smoky Mountains National Park, North Carolina and Tenneesse",35.611763,-83.489548
"Death Valley National Park, California",36.4832796,-117.1008929
"Capitol Reef National Park, Utah",38.1499825,-111.1673884
"Saguaro National Park, Arizona",32.2786864,-111.1826004
"Big Bend National Park, Texas",29.2502011,-103.250452
Crater Lake National Park,42.9415172,-122.1511399
Kenai Fjords National Park,59.9177778,-149.9708333
Sequoia National Park,36.887856,-118.555145
Kings Canyon National Park,36.887856,-118.555145
"Grand Teton National Park, Wyoming",43.8332687,-110.7007671
Apostle Islands National Lakeshore,46.9499305,-90.8835222
