Park,Unnamed: 0,Spring,Summer,Fall,Winter,Population
Acadia,0,54212,264288,157764,491360,1336000
Apostle Islands,1,5779,24752,12170,45540,5795000
Arches,2,172387,202429,151742,569658,3102000
Big Bend,3,56583,21896,35669,155748,27677000
Bryce Canyon,4,158701,245418,177327,623241,3102000
Capitol Reef,5,270641,259080,217466,786764,3102000
Crater Lake,6,24468,201731,54512,285594,4143000
Death Valley,7,99269,124506,107237,410848,39500000
Grand Canyon,8,537160,657787,501213,1967482,70160000
Grand Teton,9,484160,1642717,762411,3207493,572000
Great Smoky Mountains,10,2727294,3534925,4539863,13876483,67160000
Guadalupe Mountains,11,36588,18826,21687,98732,27677000
Joshua Tree,12,275422,107437,178859,782167,39500000
Kenai Fjords,13,4806,44912,8076,57794,739795
Kings Canyon,14,48458,121431,62998,254443,39500000
Lassen Volcanic,15,17630,119634,54710,200658,39500000
Mount Rainier,16,85301,539982,231668,889046,7406000
Olympic,17,280318,557783,257392,1219445,7406000
Rocky Mountain,18,182488,763554,404973,1441294,5509000
Saguaro,19,888437,745084,778869,3317359,70160000
Sequoia,20,102948,200704,104590,454829,39500000
Shenandoah,21,133008,216878,217344,610768,8175000
Yellowstone,22,405543,1500447,590027,2656437,572000
Yosemite,23,395534,800951,520111,1888971,39500000
Zion,24,463766,482898,402714,1534932,3102000
