State,Summer,Spring,Fall,Winter
Alaska,44912,4806,8076,57794
Arizona,657787,537160,501213,1967482
Arizona,745084,888437,778869,3317359
California,107437,275422,178859,782167
California,119634,17630,54710,200658
California,121431,48458,62998,254443
California,124506,99269,107237,410848
California,200704,102948,104590,454829
California,800951,395534,520111,1888971
Colorado,763554,182488,404973,1441294
Maine,264288,54212,157764,491360
Oregon,201731,24468,54512,285594
Tennessee,3534925,2727294,4539863,13876483
Texas,18826,36588,21687,98732
Texas,21896,56583,35669,155748
Utah,202429,172387,151742,569658
Utah,245418,158701,177327,623241
Utah,259080,270641,217466,786764
Utah,482898,463766,402714,1534932
Virginia,216878,133008,217344,610768
Washington,539982,85301,231668,889046
Washington,557783,280318,257392,1219445
Wisconsin,24752,5779,12170,45540
Wyoming,1500447,405543,590027,2656437
Wyoming,1642717,484160,762411,3207493
