State,Winter,Spring,Summer,Fall
Alaska,57794,4806,44912,8076
Arizona,1967482,537160,657787,501213
Arizona,3317359,888437,745084,778869
California,200658,17630,119634,54710
California,254443,48458,121431,62998
California,410848,99269,124506,107237
California,454829,102948,200704,104590
California,782167,275422,107437,178859
California,1888971,395534,800951,520111
Colorado,1441294,182488,763554,404973
Maine,491360,54212,264288,157764
Oregon,285594,24468,201731,54512
Tennessee,13876483,2727294,3534925,4539863
Texas,98732,36588,18826,21687
Texas,155748,56583,21896,35669
Utah,569658,172387,202429,151742
Utah,623241,158701,245418,177327
Utah,786764,270641,259080,217466
Utah,1534932,463766,482898,402714
Virginia,610768,133008,216878,217344
Washington,889046,85301,539982,231668
Washington,1219445,280318,557783,257392
Wisconsin,45540,5779,24752,12170
Wyoming,2656437,405543,1500447,590027
Wyoming,3207493,484160,1642717,762411
